Date,Water_level,Water_temp
01/01/2015,267,3.8
02/01/2015,265,3
03/01/2015,257,3
04/01/2015,246,2.5
05/01/2015,238,2
06/01/2015,228,2
07/01/2015,215,1.5
08/01/2015,208,1.5
09/01/2015,200,1.5
10/01/2015,190,1.5
11/01/2015,192,1.5
12/01/2015,189,1.5
13/01/2015,192,1.7
14/01/2015,196,1.7
15/01/2015,203,2
16/01/2015,213,2.2
17/01/2015,239,2.2
18/01/2015,258,2.2
19/01/2015,280,2.2
20/01/2015,296,2.5
21/01/2015,300,2.5
22/01/2015,304,2.2
23/01/2015,306,2.5
24/01/2015,308,2.5
25/01/2015,315,2.5
26/01/2015,322,3
27/01/2015,332,3
28/01/2015,344,3.3
29/01/2015,360,3.3
30/01/2015,373,3.8
31/01/2015,390,3.8
01/02/2015,394,4.4
02/02/2015,399,4.8
03/02/2015,400,4.8
04/02/2015,402,4.8
05/02/2015,402,4.8
06/02/2015,404,4.8
07/02/2015,404,4.6
08/02/2015,405,4.6
09/02/2015,404,4
10/02/2015,404,4
11/02/2015,402,3.4
12/02/2015,400,3.4
13/02/2015,398,3
14/02/2015,395,3
15/02/2015,385,3
16/02/2015,373,3.3
17/02/2015,363,3.3
18/02/2015,357,2.7
19/02/2015,347,2.7
20/02/2015,336,2.7
21/02/2015,326,2.7
22/02/2015,320,3
23/02/2015,315,3.2
24/02/2015,305,3.2
25/02/2015,294,3.2
26/02/2015,290,4.5
27/02/2015,290,4.5
28/02/2015,289,4
01/03/2015,290,4.5
02/03/2015,295,4.5
03/03/2015,301,5
04/03/2015,310,5.5
05/03/2015,320,5.8
06/03/2015,327,6
07/03/2015,337,5.8
08/03/2015,347,5.5
09/03/2015,357,5.8
10/03/2015,367,5.8
11/03/2015,380,5.8
12/03/2015,390,6
13/03/2015,400,6
14/03/2015,408,6
15/03/2015,414,6.3
16/03/2015,415,6.3
17/03/2015,418,6.3
18/03/2015,420,6.5
19/03/2015,421,6.5
20/03/2015,421,6.5
21/03/2015,419,6.5
22/03/2015,417,6.5
23/03/2015,410,6.8
24/03/2015,404,7.2
25/03/2015,398,7.2
26/03/2015,390,7.5
27/03/2015,380,8.2
28/03/2015,370,8.2
29/03/2015,366,8.2
30/03/2015,365,9
31/03/2015,364,9
01/04/2015,365,9.4
02/04/2015,366,9.4
03/04/2015,367,10
04/04/2015,367,10
05/04/2015,367,10
06/04/2015,367,10
07/04/2015,370,10
08/04/2015,381,9.5
