OID_,title,SymbolID,ORIG_FID,X,Y
1,Line,Override 1,1,29.65015469,45.34060809
2,Line,Override 1,1,29.64711307,45.34272713
3,Line,Override 1,1,29.63797169,45.34909526
4,Line,Override 1,1,29.62861705,45.35561121
5,Line,Override 1,1,29.61978672,45.36399983
6,Line,Override 1,1,29.60665932,45.37646826
7,Line,Override 1,1,29.60410737,45.3788918
8,Line,Override 1,1,29.59799308,45.38314853
9,Line,Override 1,1,29.59594263,45.38509558
10,Line,Override 1,1,29.59262131,45.38781516
11,Line,Override 1,1,29.59031117,45.38962789
