OID_,title,SymbolID,ORIG_FID,X,Y
1,Line,Override 1,1,29.78089629,45.46326076
2,Line,Override 1,1,29.77321444,45.46013034
3,Line,Override 1,1,29.76407347,45.45799313
4,Line,Override 1,1,29.75679932,45.45629233
5,Line,Override 1,1,29.74604903,45.45347762
6,Line,Override 1,1,29.74171458,45.45191215
7,Line,Override 1,1,29.73866759,45.45016601
8,Line,Override 1,1,29.73669348,45.44748648
9,Line,Override 1,1,29.73493018,45.44647591
10,Line,Override 1,1,29.73055659,45.44655313
11,Line,Override 1,1,29.72549258,45.4475467
12,Line,Override 1,1,29.72055828,45.44763382
13,Line,Override 1,1,29.71802531,45.445409
14,Line,Override 1,1,29.7132617,45.44321101
15,Line,Override 1,1,29.7055487,45.44042479
16,Line,Override 1,1,29.69746886,45.43773071
17,Line,Override 1,1,29.69047366,45.43649606
18,Line,Override 1,1,29.68603189,45.43571208
19,Line,Override 1,1,29.67708407,45.43468921
20,Line,Override 1,1,29.67011908,45.43345983
21,Line,Override 1,1,29.6604245,45.4311921
22,Line,Override 1,1,29.65209906,45.4273496
23,Line,Override 1,1,29.64404438,45.42363182
24,Line,Override 1,1,29.63581068,45.41891084
25,Line,Override 1,1,29.63588534,45.41884669
26,Line,Override 1,1,29.62670146,45.41227948
27,Line,Override 1,1,29.62145597,45.40766917
28,Line,Override 1,1,29.61834007,45.40343659
29,Line,Override 1,1,29.6156293,45.39745525
30,Line,Override 1,1,29.61369811,45.39414036
31,Line,Override 1,1,29.61108249,45.39226924
32,Line,Override 1,1,29.60848735,45.39078047
33,Line,Override 1,1,29.60233832,45.39007699
34,Line,Override 1,1,29.59778198,45.38990084
35,Line,Override 1,1,29.59026236,45.38961012
