OID_,title,SymbolID,ORIG_FID,X,Y
1,Line,Override 1,1,29.59032534,45.38961597
2,Line,Override 1,1,29.58798645,45.39071602
3,Line,Override 1,1,29.57355617,45.39697686
4,Line,Override 1,1,29.56377147,45.40240086
5,Line,Override 1,1,29.5454037,45.40963204
6,Line,Override 1,1,29.53810809,45.4115602
7,Line,Override 1,1,29.52085612,45.41403056
8,Line,Override 1,1,29.50120089,45.41879021
9,Line,Override 1,1,29.4914162,45.4207783
10,Line,Override 1,1,29.48326228,45.42138074
11,Line,Override 1,1,29.47592193,45.42243166
12,Line,Override 1,1,29.46498827,45.42717282
13,Line,Override 1,1,29.45244906,45.4312598
14,Line,Override 1,1,29.44039171,45.43298574
15,Line,Override 1,1,29.43285729,45.43936965
16,Line,Override 1,1,29.43004725,45.44294378
17,Line,Override 1,1,29.42180751,45.44276312
18,Line,Override 1,1,29.41253779,45.44095647
19,Line,Override 1,1,29.40481057,45.43864267
20,Line,Override 1,1,29.39807779,45.43662656
21,Line,Override 1,1,29.3957572,45.43657568
22,Line,Override 1,1,29.39125178,45.43610835
23,Line,Override 1,1,29.38611373,45.43746566
24,Line,Override 1,1,29.37968863,45.43902094
25,Line,Override 1,1,29.36828814,45.43679885
26,Line,Override 1,1,29.35816721,45.4367922
27,Line,Override 1,1,29.34795641,45.43878259
28,Line,Override 1,1,29.34035419,45.4442084
29,Line,Override 1,1,29.33564133,45.44681877
30,Line,Override 1,1,29.33015385,45.44826812
31,Line,Override 1,1,29.32382611,45.44812939
32,Line,Override 1,1,29.31795238,45.44571386
33,Line,Override 1,1,29.3129742,45.44161892
34,Line,Override 1,1,29.30696605,45.43583732
35,Line,Override 1,1,29.30085531,45.43164895
36,Line,Override 1,1,29.29615138,45.42915161
37,Line,Override 1,1,29.28778579,45.42664613
38,Line,Override 1,1,29.28387937,45.42693472
39,Line,Override 1,1,29.27280543,45.42806737
40,Line,Override 1,1,29.2656739,45.42945774
41,Line,Override 1,1,29.25915887,45.43306722
42,Line,Override 1,1,29.25070976,45.43478352
43,Line,Override 1,1,29.24345114,45.43477875
44,Line,Override 1,1,29.23598347,45.43170697
45,Line,Override 1,1,29.22594333,45.42344583
46,Line,Override 1,1,29.2177331,45.42006792
47,Line,Override 1,1,29.20906501,45.41720754
48,Line,Override 1,1,29.19660466,45.415506
49,Line,Override 1,1,29.18656989,45.41219436
50,Line,Override 1,1,29.18219436,45.40798168
51,Line,Override 1,1,29.18113826,45.40197901
52,Line,Override 1,1,29.17583865,45.39834444
53,Line,Override 1,1,29.16785991,45.39506031
54,Line,Override 1,1,29.15534527,45.3908071
55,Line,Override 1,1,29.14273628,45.38702813
56,Line,Override 1,1,29.13253501,45.38356067
57,Line,Override 1,1,29.12284688,45.3825548
58,Line,Override 1,1,29.11865694,45.38117127
59,Line,Override 1,1,29.11025783,45.37670808
60,Line,Override 1,1,29.10649573,45.37470883
61,Line,Override 1,1,29.09886205,45.37527329
62,Line,Override 1,1,29.09007254,45.37508035
63,Line,Override 1,1,29.08396223,45.37444585
64,Line,Override 1,1,29.07500861,45.3680401
65,Line,Override 1,1,29.06549157,45.36412067
66,Line,Override 1,1,29.05911677,45.36149517
67,Line,Override 1,1,29.05537317,45.35995329
68,Line,Override 1,1,29.04397521,45.36079631
69,Line,Override 1,1,29.04011683,45.35814825
70,Line,Override 1,1,29.02918044,45.35233434
71,Line,Override 1,1,29.01779182,45.34764281
72,Line,Override 1,1,29.00678766,45.34389983
73,Line,Override 1,1,28.99685977,45.33628305
74,Line,Override 1,1,28.99108963,45.33390542
75,Line,Override 1,1,28.98450113,45.33166387
76,Line,Override 1,1,28.97510202,45.33165768
77,Line,Override 1,1,28.96566058,45.33165147
78,Line,Override 1,1,28.95816825,45.32442753
79,Line,Override 1,1,28.95355819,45.31682192
80,Line,Override 1,1,28.94892333,45.31145008
81,Line,Override 1,1,28.9481716,45.30793392
82,Line,Override 1,1,28.95398734,45.29798805
83,Line,Override 1,1,28.9552748,45.29158794
84,Line,Override 1,1,28.9519274,45.28506633
85,Line,Override 1,1,28.94525954,45.28151711
86,Line,Override 1,1,28.94050231,45.28008862
87,Line,Override 1,1,28.93433191,45.28008456
88,Line,Override 1,1,28.92485254,45.28238554
89,Line,Override 1,1,28.91381858,45.2880253
90,Line,Override 1,1,28.89896987,45.29744467
91,Line,Override 1,1,28.8879279,45.30534503
92,Line,Override 1,1,28.88133362,45.31006261
93,Line,Override 1,1,28.87643931,45.31504142
94,Line,Override 1,1,28.86748557,45.31741176
95,Line,Override 1,1,28.85776013,45.31608135
96,Line,Override 1,1,28.84494955,45.31791884
97,Line,Override 1,1,28.83247346,45.32484435
98,Line,Override 1,1,28.82310789,45.33436876
99,Line,Override 1,1,28.81239411,45.33646098
100,Line,Override 1,1,28.80306064,45.33625595
101,Line,Override 1,1,28.78793072,45.33125574
102,Line,Override 1,1,28.78029062,45.32719232
103,Line,Override 1,1,28.78138702,45.32174485
104,Line,Override 1,1,28.79000349,45.31834749
105,Line,Override 1,1,28.80146305,45.31382881
106,Line,Override 1,1,28.80634401,45.30968406
107,Line,Override 1,1,28.80346728,45.30408126
108,Line,Override 1,1,28.80005015,45.29844182
109,Line,Override 1,1,28.79353929,45.29396834
