OID_,title,SymbolID,ORIG_FID,X,Y
1,Line,Override 1,1,29.61934517,44.87832484
2,Line,Override 1,1,29.59642838,44.89097406
3,Line,Override 1,1,29.59042023,44.89334547
4,Line,Override 1,1,29.5838971,44.89480476
5,Line,Override 1,1,29.57952232,44.89578342
6,Line,Override 1,1,29.57445714,44.89964564
7,Line,Override 1,1,29.56724669,44.90707723
8,Line,Override 1,1,29.56352829,44.90991199
9,Line,Override 1,1,29.5587487,44.91419758
10,Line,Override 1,1,29.54862068,44.92398269
11,Line,Override 1,1,29.53905875,44.93255393
12,Line,Override 1,1,29.53016708,44.93880913
13,Line,Override 1,1,29.52287148,44.94239364
14,Line,Override 1,1,29.51734443,44.94510906
15,Line,Override 1,1,29.50261543,44.94974421
16,Line,Override 1,1,29.49470811,44.95223246
17,Line,Override 1,1,29.49190805,44.9538747
18,Line,Override 1,1,29.48413751,44.95933922
19,Line,Override 1,1,29.48124171,44.96076151
20,Line,Override 1,1,29.47682306,44.96353926
21,Line,Override 1,1,29.47180824,44.96606747
22,Line,Override 1,1,29.46781314,44.9678938
23,Line,Override 1,1,29.46472719,44.96887206
24,Line,Override 1,1,29.45890843,44.9707166
25,Line,Override 1,1,29.45350971,44.97241484
26,Line,Override 1,1,29.44696583,44.97340357
27,Line,Override 1,1,29.44088171,44.97388514
28,Line,Override 1,1,29.43568895,44.9740673
29,Line,Override 1,1,29.43070372,44.97328503
30,Line,Override 1,1,29.42643464,44.97244728
31,Line,Override 1,1,29.42276246,44.97060276
32,Line,Override 1,1,29.41929529,44.96726638
33,Line,Override 1,1,29.41643766,44.96451639
34,Line,Override 1,1,29.40959642,44.95612205
35,Line,Override 1,1,29.40676231,44.95264418
36,Line,Override 1,1,29.40206478,44.94904565
37,Line,Override 1,1,29.39875621,44.94651099
38,Line,Override 1,1,29.3963785,44.94555268
39,Line,Override 1,1,29.39373804,44.94485721
40,Line,Override 1,1,29.39023224,44.9443068
41,Line,Override 1,1,29.38668194,44.94443141
42,Line,Override 1,1,29.38302045,44.94472137
43,Line,Override 1,1,29.37646578,44.94562861
44,Line,Override 1,1,29.37255314,44.94717148
45,Line,Override 1,1,29.36942766,44.94913676
46,Line,Override 1,1,29.36753232,44.95024845
47,Line,Override 1,1,29.36578549,44.95112848
48,Line,Override 1,1,29.36063317,44.95348443
49,Line,Override 1,1,29.35625862,44.95537004
50,Line,Override 1,1,29.35222518,44.95759357
51,Line,Override 1,1,29.34814356,44.95886782
52,Line,Override 1,1,29.34471249,44.95999528
53,Line,Override 1,1,29.34006402,44.96142724
54,Line,Override 1,1,29.33475992,44.96326563
55,Line,Override 1,1,29.33060879,44.96470436
56,Line,Override 1,1,29.31863544,44.96856363
57,Line,Override 1,1,29.31521256,44.97071511
58,Line,Override 1,1,29.31496053,44.97081445
59,Line,Override 1,1,29.31347904,44.97168308
60,Line,Override 1,1,29.31252277,44.97361212
61,Line,Override 1,1,29.31422186,44.97625296
62,Line,Override 1,1,29.31607418,44.9794559
63,Line,Override 1,1,29.31770362,44.98247704
64,Line,Override 1,1,29.31702803,44.98523849
65,Line,Override 1,1,29.31553337,44.98825283
66,Line,Override 1,1,29.31402395,44.9903149
67,Line,Override 1,1,29.31083491,44.99339207
68,Line,Override 1,1,29.3065811,44.99606467
69,Line,Override 1,1,29.30228661,44.99722689
