OID_,title,SymbolID,ORIG_FID,X,Y
1,Line,Override 1,1,29.68386469,45.16181138
2,Line,Override 1,1,29.67202006,45.15854322
3,Line,Override 1,1,29.66172038,45.15745379
4,Line,Override 1,1,29.65245066,45.15727221
5,Line,Override 1,1,29.64358932,45.15755145
6,Line,Override 1,1,29.63434039,45.15878531
7,Line,Override 1,1,29.62773142,45.15999576
8,Line,Override 1,1,29.62232826,45.15988993
9,Line,Override 1,1,29.6156854,45.15918731
10,Line,Override 1,1,29.61153614,45.15994725
11,Line,Override 1,1,29.60035143,45.16259813
12,Line,Override 1,1,29.59451311,45.16462677
13,Line,Override 1,1,29.59077804,45.16592455
14,Line,Override 1,1,29.58398818,45.16716798
15,Line,Override 1,1,29.57759416,45.16868324
16,Line,Override 1,1,29.56438837,45.17566873
17,Line,Override 1,1,29.55280123,45.18008543
18,Line,Override 1,1,29.54864082,45.18228583
19,Line,Override 1,1,29.53909315,45.18403378
20,Line,Override 1,1,29.53434662,45.18418328
21,Line,Override 1,1,29.52698084,45.18340453
22,Line,Override 1,1,29.5216598,45.18193693
23,Line,Override 1,1,29.51874239,45.18113227
24,Line,Override 1,1,29.51572238,45.17905692
25,Line,Override 1,1,29.51323328,45.17709059
26,Line,Override 1,1,29.51083003,45.17494267
27,Line,Override 1,1,29.50929013,45.1737261
28,Line,Override 1,1,29.5073968,45.1730367
29,Line,Override 1,1,29.50168245,45.17243243
30,Line,Override 1,1,29.49078856,45.17243162
31,Line,Override 1,1,29.48726886,45.1725425
32,Line,Override 1,1,29.47448261,45.17294532
33,Line,Override 1,1,29.46434032,45.17326484
34,Line,Override 1,1,29.44933234,45.17326372
35,Line,Override 1,1,29.43802961,45.1739993
36,Line,Override 1,1,29.4240169,45.17444074
37,Line,Override 1,1,29.41208184,45.17443985
38,Line,Override 1,1,29.40033569,45.17480989
39,Line,Override 1,1,29.38736259,45.17480892
40,Line,Override 1,1,29.37336289,45.17524995
41,Line,Override 1,1,29.35273878,45.17589965
42,Line,Override 1,1,29.34028445,45.17606202
43,Line,Override 1,1,29.33187714,45.17589739
44,Line,Override 1,1,29.31899455,45.17630322
45,Line,Override 1,1,29.30748554,45.17666577
46,Line,Override 1,1,29.29024308,45.17689055
47,Line,Override 1,1,29.26845198,45.177577
48,Line,Override 1,1,29.26140875,45.17779887
49,Line,Override 1,1,29.24174485,45.1784183
50,Line,Override 1,1,29.22972664,45.17857497
51,Line,Override 1,1,29.22459506,45.17873661
52,Line,Override 1,1,29.21766906,45.17966024
53,Line,Override 1,1,29.20819102,45.1824449
54,Line,Override 1,1,29.20325283,45.18334897
55,Line,Override 1,1,29.19661248,45.18378105
56,Line,Override 1,1,29.17900858,45.18274739
57,Line,Override 1,1,29.17161992,45.18160499
58,Line,Override 1,1,29.16063434,45.17947564
59,Line,Override 1,1,29.15265856,45.17760486
60,Line,Override 1,1,29.14484797,45.17512419
61,Line,Override 1,1,29.13967152,45.17390992
62,Line,Override 1,1,29.13619693,45.17337262
63,Line,Override 1,1,29.13094018,45.17326968
64,Line,Override 1,1,29.12544338,45.17344285
65,Line,Override 1,1,29.12135565,45.17383278
66,Line,Override 1,1,29.11446867,45.17404975
67,Line,Override 1,1,29.10716118,45.17452531
68,Line,Override 1,1,29.09913227,45.17529119
69,Line,Override 1,1,29.08869854,45.17572684
70,Line,Override 1,1,29.07824338,45.17572605
71,Line,Override 1,1,29.0654716,45.17533214
72,Line,Override 1,1,29.05326662,45.17441305
73,Line,Override 1,1,29.03856256,45.17330576
74,Line,Override 1,1,29.02519251,45.17189193
75,Line,Override 1,1,29.01677137,45.17139736
76,Line,Override 1,1,29.00674641,45.17239547
77,Line,Override 1,1,28.99756251,45.17633429
78,Line,Override 1,1,28.99077667,45.18079436
79,Line,Override 1,1,28.98503123,45.18510675
80,Line,Override 1,1,28.97803603,45.19000664
81,Line,Override 1,1,28.97310946,45.1924047
82,Line,Override 1,1,28.96617405,45.19332936
83,Line,Override 1,1,28.95968735,45.19375137
84,Line,Override 1,1,28.95125686,45.19375074
85,Line,Override 1,1,28.94654049,45.19339569
86,Line,Override 1,1,28.93914691,45.19261413
87,Line,Override 1,1,28.93219776,45.19098454
88,Line,Override 1,1,28.92687803,45.18995359
89,Line,Override 1,1,28.92091318,45.19003133
90,Line,Override 1,1,28.9160106,45.19068499
91,Line,Override 1,1,28.91129084,45.18957816
92,Line,Override 1,1,28.90404118,45.187878
93,Line,Override 1,1,28.89829022,45.18676342
94,Line,Override 1,1,28.89259293,45.18694286
95,Line,Override 1,1,28.88923034,45.18773946
96,Line,Override 1,1,28.88688597,45.18779807
97,Line,Override 1,1,28.88690529,45.18778359
