OID_,title,SymbolID,ORIG_FID,X,Y
1,Line,Override 1,1,28.88688597,45.18779807
2,Line,Override 1,1,28.88256548,45.19103117
3,Line,Override 1,1,28.87466906,45.19598348
4,Line,Override 1,1,28.86153696,45.20064052
5,Line,Override 1,1,28.85235308,45.20224318
6,Line,Override 1,1,28.8429117,45.20278746
7,Line,Override 1,1,28.83072374,45.20212222
8,Line,Override 1,1,28.81587503,45.1974653
9,Line,Override 1,1,28.80746363,45.19087239
10,Line,Override 1,1,28.80488871,45.18681949
11,Line,Override 1,1,28.80317209,45.1825848
12,Line,Override 1,1,28.80205629,45.18137483
13,Line,Override 1,1,28.79733561,45.18191932
14,Line,Override 1,1,28.79244326,45.18436946
15,Line,Override 1,1,28.78984404,45.18930043
16,Line,Override 1,1,28.79055498,45.19419919
17,Line,Override 1,1,28.79265783,45.20287818
18,Line,Override 1,1,28.79280956,45.20973157
19,Line,Override 1,1,28.78536147,45.21345978
20,Line,Override 1,1,28.77128599,45.2155163
21,Line,Override 1,1,28.76606983,45.21611757
22,Line,Override 1,1,28.75862116,45.21571111
23,Line,Override 1,1,28.75277749,45.21604791
24,Line,Override 1,1,28.74715376,45.219042
25,Line,Override 1,1,28.74403475,45.22388977
26,Line,Override 1,1,28.74188898,45.22606607
27,Line,Override 1,1,28.73671716,45.22993361
