OID,CID,POINT_X,POINT_Y
1,1,29.8336155,44.70147862
2,1,29.98900206,44.30988949
3,1,29.58028779,44.77842972
4,1,28.94085003,44.52737656
5,1,29.16784913,44.23613375
6,1,30.37004694,45.0902842
7,1,29.09222322,44.63206699
8,1,30.22111579,44.75043222
9,1,30.16750084,44.76103491
10,1,30.40305216,45.35534445
11,1,29.42914864,44.53190513
12,1,30.0099152,44.84651372
13,1,30.52757692,44.62562872
14,1,29.79701624,44.37823854
15,1,28.88043205,44.27929978
16,1,29.80596668,44.63325951
17,1,29.25518556,44.51363105
18,1,29.84215198,44.95989287
19,1,30.29967988,45.22514269
20,1,29.9341165,45.19931627
21,1,29.99824109,44.63023957
22,1,30.2185597,44.8243136
23,1,29.6726643,44.80933905
24,1,30.41100229,45.14637006
25,1,30.43368025,44.64683601
26,1,30.47160686,45.21690003
27,1,29.70707264,44.06746787
28,1,29.78583368,45.17365415
29,1,29.65338196,44.20382935
30,1,29.57267891,44.35185986
31,1,30.12548486,44.78691266
32,1,29.18779108,44.71779165
33,1,30.27046481,44.43094894
34,1,30.23215284,44.6543681
35,1,29.9889864,44.17163617
36,1,30.50156937,44.69511762
37,1,30.20387881,44.37796373
38,1,30.24526915,44.73362603
39,1,29.8947062,45.21162108
40,1,30.25758861,44.89293478
41,1,29.90692205,44.7819262
42,1,29.97618187,45.03816797
43,1,30.18335741,44.57496086
44,1,30.41339461,44.90020763
45,1,30.62694189,44.63770651
46,1,29.08486665,44.50730829
47,1,29.0980657,44.35753102
48,1,30.4257025,45.37686241
49,1,29.87043786,44.19316778
50,1,29.95653508,44.45461764
51,1,29.77385505,44.57878052
52,1,29.86686227,44.34115429
53,1,30.01574723,44.69874127
54,1,29.26674569,44.29238701
55,1,29.58993914,44.38709454
56,1,30.61794154,45.06340503
57,1,30.3990348,44.84641191
58,1,29.57518362,44.74416772
59,1,30.3446558,45.4833512
60,1,30.36079009,44.64177487
61,1,29.34775114,44.32489224
62,1,28.91122037,44.47861356
63,1,29.70264872,44.12718638
64,1,30.13318117,44.87303948
65,1,29.41395508,44.3082394
66,1,29.75957237,44.85272942
67,1,29.56519473,44.1123125
68,1,30.49744221,45.16678653
69,1,29.13590319,44.46578847
70,1,30.53297986,45.14428118
71,1,28.88093638,44.30305821
72,1,30.53194644,45.19998211
73,1,30.58607561,44.65495035
74,1,30.31240924,44.33199244
75,1,30.01830151,44.88476739
76,1,29.185628,44.13313538
77,1,28.94929419,44.57629972
78,1,29.83194343,44.1442869
79,1,30.19230177,44.99473319
80,1,30.1362657,45.34639626
81,1,29.54857043,44.47534994
82,1,30.35166191,45.15976216
83,1,29.48018255,44.10762281
84,1,30.35902489,44.39897082
85,1,29.14378542,44.44920059
86,1,30.481754,44.4998344
87,1,29.12057775,44.2476881
88,1,29.54689523,44.17546067
89,1,29.30678769,44.60354941
90,1,29.04610277,44.6094755
91,1,29.50320825,44.70704115
92,1,29.96460093,44.48474628
93,1,29.1791797,44.40690574
94,1,30.03824946,44.11741413
95,1,30.38545572,44.64202843
96,1,30.18201821,45.31658243
97,1,29.57379584,44.79569537
98,1,29.98311588,44.56540692
99,1,29.29171437,44.11283468
100,1,30.32168991,45.07406416
101,1,30.04033903,44.70466214
102,1,30.04310913,44.73065476
103,1,29.9860586,45.23853818
104,1,30.15447391,45.13995238
105,1,29.54118774,44.33493536
106,1,29.83259624,44.26198463
107,1,29.77719631,45.05934913
108,1,30.15740651,45.34958056
109,1,29.93115858,45.30252194
110,1,29.32978217,44.16202952
111,1,30.11403586,44.19016363
112,1,30.18681476,44.14386774
113,1,29.46129545,44.58925968
114,1,29.77613609,44.80128006
115,1,29.91471143,44.98508572
116,1,30.17956782,44.71130407
117,1,29.90103835,45.22672518
118,1,29.08900544,44.7321407
119,1,29.06525485,44.33925189
120,1,30.44406394,45.14273961
121,1,29.9012466,45.33410955
122,1,29.07132881,44.26303211
123,1,30.42127531,45.28024243
124,1,29.30700622,44.21091569
125,1,29.80000253,45.21958282
126,1,29.27989953,44.44902075
127,1,30.57614083,45.04062363
128,1,29.38040578,44.325963
129,1,29.62708796,44.49224031
130,1,29.69560078,44.60890543
131,1,28.94046255,44.3480731
132,1,30.06185336,44.62417424
133,1,29.29212788,44.69170209
134,1,29.39381354,44.52125984
135,1,29.41260447,44.52100554
136,1,29.00826831,44.36410961
137,1,30.01764779,45.04369316
138,1,30.14745737,45.17164868
139,1,29.61971576,44.07077856
140,1,29.77888708,44.14339348
141,1,29.28796744,44.44173784
142,1,29.79713751,44.72047901
143,1,29.03616144,44.56098614
144,1,30.59688078,45.08554021
145,1,30.15304616,44.30291188
146,1,30.03889059,45.3304585
147,1,30.05956212,44.32539042
148,1,30.20218981,44.37203786
149,1,29.88273058,45.48502395
150,1,29.89678044,44.87655975
151,1,29.60074622,44.10490955
152,1,30.31403653,45.41835343
153,1,29.77505872,44.39157128
154,1,30.33598576,45.36567037
155,1,30.27902277,44.37195611
156,1,29.52429542,44.2097565
157,1,29.84409034,44.64607884
158,1,28.97881439,44.31186542
159,1,30.38043151,44.80382877
160,1,29.84568875,45.43622879
161,1,30.1913383,44.67763283
162,1,30.13317673,45.19390828
163,1,30.00061005,44.65532268
164,1,30.53970168,45.14819359
165,1,30.20699713,44.29355661
166,1,29.33638304,44.40379351
167,1,29.36910345,44.12984466
168,1,29.78584042,44.84979811
169,1,29.77887151,45.20294517
170,1,30.0615037,44.20130686
171,1,30.41576325,44.93981461
172,1,29.81908125,44.3664279
173,1,29.62098535,44.55457076
174,1,30.41255827,45.19474724
175,1,29.75590686,45.16640432
176,1,29.97981729,44.69355766
177,1,30.2682565,45.47314524
178,1,30.33670849,44.59095722
179,1,29.92501728,44.11325397
180,1,29.75116098,45.00923432
181,1,29.18681725,44.38173955
182,1,30.36370386,44.50234684
183,1,29.5077346,44.18130265
184,1,29.46605782,44.21450652
185,1,29.18546025,44.16104466
186,1,29.14355305,44.41058043
187,1,30.42822221,44.49203721
188,1,29.07667,44.3358634
189,1,30.20481578,45.18562043
190,1,30.01864227,44.8379737
191,1,30.43413659,45.20891333
192,1,30.44239403,45.31799925
193,1,30.386679,44.52257688
194,1,30.08861124,44.36824937
195,1,30.51980632,45.24457634
196,1,30.07406356,44.57300729
197,1,29.65199403,44.3893583
198,1,29.61117226,44.085797
199,1,29.28588965,44.43353739
200,1,29.71687905,44.31434937
201,1,29.78540012,44.19176616
202,1,30.19150585,44.86279313
203,1,29.99597664,45.02764775
204,1,29.52314192,44.35795239
205,1,29.4188039,44.50343992
206,1,30.50966629,44.84932182
207,1,29.82155232,45.24312832
208,1,30.21537271,44.59502964
209,1,30.25510484,44.37113238
210,1,29.01823929,44.30533558
211,1,29.49779993,44.78669495
212,1,30.11823412,45.03908611
213,1,30.37396267,44.90711069
214,1,30.40398732,45.07152896
215,1,30.21757277,45.42199471
216,1,29.20521918,44.51524406
217,1,29.71632866,44.5096585
218,1,29.29992065,44.31885989
219,1,30.19521312,45.27825341
220,1,29.81107913,45.16732864
221,1,30.04107125,44.14074865
222,1,29.80210439,44.74380041
223,1,29.88442054,44.46205582
224,1,28.90102492,44.28878251
225,1,30.23511083,45.05620463
226,1,30.53604915,44.60474344
227,1,29.27182322,44.76650404
228,1,30.4155532,44.65641068
229,1,29.14289158,44.55316396
230,1,30.36584804,45.46552555
231,1,29.3574372,44.34910825
232,1,29.74639357,45.12865961
233,1,29.01670755,44.62675003
234,1,30.11276096,45.39454952
235,1,30.03829936,44.88609615
236,1,29.55108636,44.77367112
237,1,29.46804625,44.15914316
238,1,29.17928016,44.57303002
239,1,29.44960129,44.32476093
240,1,30.22063726,45.50135821
241,1,29.78861507,45.25003936
242,1,30.19908909,44.38590268
243,1,30.41119988,45.02436253
244,1,29.47856838,44.43217476
245,1,29.38383124,44.6950119
246,1,29.34604725,44.26197179
247,1,29.42116874,44.33238484
248,1,29.73708508,44.77129092
249,1,29.39441043,44.0697263
250,1,30.59596777,44.82380074
251,1,29.55870122,44.25419884
252,1,30.62132863,44.9171399
253,1,30.38285277,44.9176913
254,1,29.59501415,44.41292041
255,1,29.50465756,44.2351361
256,1,29.66661567,44.52888048
257,1,29.94699398,44.60823211
258,1,29.04336403,44.65028954
259,1,29.82284602,44.38398185
260,1,29.89823699,44.13192483
261,1,30.09789699,44.24863769
262,1,30.00810674,44.33372215
263,1,30.5618478,44.60014616
264,1,30.12680043,44.31935881
265,1,29.16675664,44.65468662
266,1,29.92864846,45.41178789
267,1,28.85932585,44.39321124
268,1,29.6413654,44.75542903
269,1,29.44138501,44.18135981
270,1,30.16860451,44.42203793
271,1,29.81185087,44.70193774
272,1,29.94057367,44.39442253
273,1,30.25079273,45.05025229
274,1,29.50198415,44.72335086
275,1,29.23202003,44.4088232
276,1,29.48704187,44.2126695
277,1,30.05734611,44.89339525
278,1,29.36819127,44.32084124
279,1,30.55206081,44.5505188
280,1,30.55461049,44.96605117
281,1,29.85529784,44.87977171
282,1,30.48386982,44.61612475
283,1,30.41535509,44.89995248
284,1,30.2477192,45.41639478
285,1,29.92646296,45.21497965
286,1,29.89961365,44.54874699
287,1,29.08586558,44.55377881
288,1,30.47050584,44.62724035
289,1,29.96115575,45.13793586
290,1,29.91749373,44.16275421
291,1,30.26818181,44.63663248
292,1,30.26985247,44.66308562
293,1,29.16351968,44.18374499
294,1,30.08470593,44.60375298
295,1,29.54758385,44.62088429
296,1,30.17824827,44.69349381
297,1,29.66422752,44.24946816
298,1,29.67925982,44.859112
299,1,29.82678842,45.08324764
300,1,28.88868082,44.52333872
301,1,30.32719543,45.02316693
302,1,29.79026733,45.29276647
303,1,30.19354229,44.76016038
304,1,29.63200952,44.66270234
305,1,30.1158323,45.00187994
306,1,30.16705928,44.66077847
307,1,29.82592171,45.37899478
308,1,30.15762366,44.94078923
309,1,28.93433164,44.36583673
310,1,29.22464953,44.47670295
311,1,29.51926811,44.54567893
312,1,29.54200698,44.80453401
313,1,30.35929744,44.43229656
314,1,30.33874864,45.10043071
315,1,29.23615462,44.5457164
316,1,29.42578354,44.098335
317,1,30.18030964,44.35251456
