OID_,title,SymbolID,ORIG_FID,X,Y
1,Danube_proper,Override 1,1,27.55364049,44.18146185
2,Danube_proper,Override 1,1,27.53926384,44.17282851
3,Danube_proper,Override 1,1,27.52175438,44.167534
4,Danube_proper,Override 1,1,27.51248467,44.15879086
5,Danube_proper,Override 1,1,27.50473408,44.15147956
6,Danube_proper,Override 1,1,27.48639214,44.14462669
7,Danube_proper,Override 1,1,27.47414123,44.13726536
8,Danube_proper,Override 1,1,27.45358222,44.1249098
9,Danube_proper,Override 1,1,27.43995774,44.12392858
10,Danube_proper,Override 1,1,27.40708458,44.13008949
11,Danube_proper,Override 1,1,27.39026177,44.13249207
12,Danube_proper,Override 1,1,27.36700165,44.12811807
13,Danube_proper,Override 1,1,27.33884919,44.13409374
14,Danube_proper,Override 1,1,27.32792434,44.13903806
15,Danube_proper,Override 1,1,27.3036586,44.14043837
16,Danube_proper,Override 1,1,27.27018464,44.12713233
17,Danube_proper,Override 1,1,27.2589858,44.12502627
18,Danube_proper,Override 1,1,27.2398311,44.11506408
19,Danube_proper,Override 1,1,27.19053376,44.11875292
20,Danube_proper,Override 1,1,27.17731583,44.12343568
21,Danube_proper,Override 1,1,27.1632396,44.1331697
22,Danube_proper,Override 1,1,27.12815496,44.13974403
23,Danube_proper,Override 1,1,27.09667008,44.13747707
24,Danube_proper,Override 1,1,27.06910447,44.14723932
25,Danube_proper,Override 1,1,27.06392419,44.14797895
26,Danube_proper,Override 1,1,27.03065763,44.14382162
27,Danube_proper,Override 1,1,26.99398148,44.13446334
28,Danube_proper,Override 1,1,26.97491665,44.13488444
29,Danube_proper,Override 1,1,26.90652001,44.13335451
30,Danube_proper,Override 1,1,26.87319155,44.12010473
31,Danube_proper,Override 1,1,26.84002798,44.11163939
32,Danube_proper,Override 1,1,26.77406714,44.08068009
33,Danube_proper,Override 1,1,26.74466162,44.07514556
34,Danube_proper,Override 1,1,26.70207131,44.07899612
35,Danube_proper,Override 1,1,26.65454854,44.06121736
36,Danube_proper,Override 1,1,26.59649956,44.05260011
37,Danube_proper,Override 1,1,26.55263713,44.05588573
38,Danube_proper,Override 1,1,26.50202352,44.04635523
39,Danube_proper,Override 1,1,26.45728219,44.03902749
40,Danube_proper,Override 1,1,26.43974261,44.03776247
41,Danube_proper,Override 1,1,26.41195687,44.03837719
42,Danube_proper,Override 1,1,26.39340818,44.0423204
43,Danube_proper,Override 1,1,26.37557523,44.03776253
44,Danube_proper,Override 1,1,26.34570229,44.03470827
45,Danube_proper,Override 1,1,26.30880121,44.0277575
46,Danube_proper,Override 1,1,26.27820897,44.01338042
47,Danube_proper,Override 1,1,26.24635429,44.00145063
48,Danube_proper,Override 1,1,26.19938414,43.98720552
49,Danube_proper,Override 1,1,26.18444171,43.9856765
50,Danube_proper,Override 1,1,26.15095366,43.98641804
51,Danube_proper,Override 1,1,26.09834649,43.96167547
52,Danube_proper,Override 1,1,26.07703168,43.93799794
53,Danube_proper,Override 1,1,26.05799782,43.90783006
