OID_,title,SymbolID,ORIG_FID,X,Y
1,Mid-bit,Override 1,1,28.73707402,45.22986748
2,Mid-bit,Override 1,1,28.72316945,45.22539419
3,Mid-bit,Override 1,1,28.71372807,45.2237015
4,Mid-bit,Override 1,1,28.69690526,45.22551509
5,Mid-bit,Override 1,1,28.6575948,45.23917563
6,Mid-bit,Override 1,1,28.62841237,45.24425216
7,Mid-bit,Override 1,1,28.58237909,45.24654046
8,Mid-bit,Override 1,1,28.55802203,45.24916521
9,Mid-bit,Override 1,1,28.53468525,45.26177479
10,Mid-bit,Override 1,1,28.47323048,45.28170776
11,Mid-bit,Override 1,1,28.34929097,45.32034568
12,Mid-bit,Override 1,1,28.33555806,45.33072513
13,Mid-bit,Override 1,1,28.3015691,45.37957955
14,Mid-bit,Override 1,1,28.29195607,45.38934537
15,Mid-bit,Override 1,1,28.28176904,45.39969246
16,Mid-bit,Override 1,1,28.28371632,45.41272826
17,Mid-bit,Override 1,1,28.28526127,45.43586056
18,Mid-bit,Override 1,1,28.27501236,45.45056901
19,Mid-bit,Override 1,1,28.2457977,45.45965185
20,Mid-bit,Override 1,1,28.22414982,45.46524417
21,Mid-bit,Override 1,1,28.21060736,45.46759066
22,Mid-bit,Override 1,1,28.19771448,45.46346024
23,Mid-bit,Override 1,1,28.19033253,45.44453272
24,Mid-bit,Override 1,1,28.19271916,45.41872634
25,Mid-bit,Override 1,1,28.19101364,45.41435044
26,Mid-bit,Override 1,1,28.18037617,45.4140538
27,Mid-bit,Override 1,1,28.15411198,45.42706658
28,Mid-bit,Override 1,1,28.1295644,45.43778782
29,Mid-bit,Override 1,1,28.10806016,45.44151561
30,Mid-bit,Override 1,1,28.08407414,45.43887188
31,Mid-bit,Override 1,1,28.05695164,45.42610277
32,Mid-bit,Override 1,1,28.02982914,45.40489486
33,Mid-bit,Override 1,1,28.02622426,45.3889837
34,Mid-bit,Override 1,1,28.02722633,45.37813917
35,Mid-bit,Override 1,1,28.02597117,45.35932747
36,Mid-bit,Override 1,1,28.01128972,45.3320526
37,Mid-bit,Override 1,1,28.01077473,45.33132853
38,Mid-bit,Override 1,1,28.01060307,45.33120785
