"ID","Class","Sex","Age","State","Spawnsite","AdultOrDead","X_Coord","Y_Coord","Strategy"
1,"adult","F",8887,"Feeding",2,10124.320835107,30.37004694,45.0902842,"W"
2,"adult","F",17010,"Feeding",6,30264.2519406594,29.28894371,44.11982242,"W"
3,"adult","F",7920,"Wintering",4,11934.9272403398,25.023333,43.727083,"W"
4,"adult","M",6530,"Feeding",20,7076.26407441637,30.07093748,45.02042203,"S"
5,"adult","F",7034,"Feeding",2,7706.97390388592,29.68288377,44.57407896,"W"
6,"adult","M",5305,"Feeding",16,7059.19249677742,29.4381152,44.67316158,"S"
7,"adult","F",10733,"Feeding",5,14019.6037565021,29.49361986,44.43196287,"W"
8,"adult","F",6022,"Feeding",6,6147.03563851677,30.17463574,44.26587992,"W"
9,"adult","F",14378,"Wintering",2,16860.1593079079,23.971206,43.749256,"W"
10,"adult","F",6735,"Feeding",14,8338.8432020219,29.79258184,44.89822993,"S"
11,"adult","M",4471,"Feeding",10,11561.5889816574,29.39320233,44.42297495,"W"
12,"adult","F",9789,"Feeding",12,10398.6871902654,29.66097107,44.31392389,"S"
13,"adult","M",10858,"Feeding",7,29387.0297733859,29.7989841,44.39866987,"W"
14,"adult","F",11339,"Feeding",23,14062.5505938901,29.75579777,44.97165757,"S"
15,"adult","F",13837,"Feeding",11,19790.2298982438,29.97364017,44.55030398,"S"
16,"adult","F",9882,"Wintering",8,13218.3088291565,26.8774,44.125767,"W"
17,"adult","M",13530,"Feeding",9,22528.2761087718,29.88444557,44.51910742,"W"
18,"adult","M",20298,"Feeding",11,36500,29.843166,44.82768304,"S"
19,"adult","M",9146,"Feeding",20,13024.4924728415,29.44084759,44.55639378,"S"
20,"adult","M",7989,"Feeding",10,10122.1336293045,30.61414951,44.81492485,"W"
21,"adult","F",7339,"Feeding",16,10347.1213030647,29.66661567,44.52888048,"S"
22,"adult","M",4933,"Feeding",17,4940.052147415,30.53735385,44.6915534,"S"
23,"adult","M",7263,"Wintering",2,36500,23.971206,43.749256,"W"
24,"adult","F",7282,"Feeding",19,17900.085268471,29.38405717,44.31390151,"S"
25,"adult","M",13021,"Wintering",5,19093.3524069341,25.708919,43.695656,"W"
26,"adult","M",4287,"Feeding",5,5094.41725741746,29.14215925,44.25804174,"W"
27,"adult","F",6025,"Feeding",20,6416.13420094959,30.27823183,44.95049028,"S"
28,"adult","F",4994,"Wintering",10,5016.89968338888,27.805513,44.325592,"W"
29,"adult","F",5941,"Wintering",1,11473.4224288909,23.971206,43.749256,"W"
30,"adult","F",7996,"Feeding",23,10232.2321589869,30.45842735,45.27887777,"S"
31,"adult","M",4195,"Feeding",18,8240.52924102708,29.71261711,44.50072908,"S"
32,"adult","F",6361,"Feeding",9,11278.8687187982,29.40407081,44.4239362,"W"
33,"adult","F",7812,"Feeding",8,8323.57199602108,30.39196317,44.9848672,"W"
34,"adult","M",4464,"Wintering",5,4921.95405332628,25.708919,43.695656,"W"
35,"adult","F",8827,"Feeding",2,13223.4118107164,29.38215991,44.23900579,"W"
36,"adult","M",20504,"Wintering",9,21691.8658733028,27.584667,44.213077,"W"
37,"adult","M",4785,"Feeding",12,4988.29604847357,29.33950095,44.59693628,"S"
38,"adult","M",5740,"Feeding",3,13414.8142623684,29.27739922,44.21767343,"W"
39,"adult","F",12371,"Feeding",11,19932.1947915796,29.42062935,44.11532343,"S"
40,"adult","F",25756,"Feeding",2,29927.2919701703,30.36396839,45.50561277,"W"
41,"adult","M",6399,"Feeding",6,6998.86687018328,30.0346803,44.17795631,"W"
42,"adult","F",6723,"Feeding",4,16484.7047829186,29.4758766,44.57087369,"W"
43,"adult","F",9310,"Feeding",21,9859.22447134927,30.23486461,45.41641487,"S"
44,"adult","M",4155,"Feeding",23,10626.6540716276,29.46627506,44.31996329,"S"
45,"adult","F",10436,"Feeding",4,13371.3457366523,30.29053144,45.37587938,"W"
46,"adult","M",19765,"Wintering",5,22853.5316183299,25.708919,43.695656,"W"
47,"adult","M",7598,"Feeding",9,12626.3093639181,30.38948984,44.92574942,"W"
48,"adult","F",7895,"Feeding",21,9392.02729299664,30.08048363,44.24094839,"S"
49,"adult","M",9116,"Feeding",15,11124.908961054,30.3843602,44.92275099,"S"
50,"adult","M",4497,"Feeding",14,5491.19392964197,29.72647095,44.12432952,"S"
51,"adult","F",10161,"Feeding",20,10950.7042515593,30.48947688,45.29425017,"S"
52,"adult","M",4356,"Feeding",16,6256.87253067503,30.03094146,45.32150919,"S"
53,"adult","M",9868,"Feeding",20,13083.4371548096,29.71261711,44.50072908,"S"
54,"adult","F",6409,"Feeding",11,8796.44938235171,30.00024416,45.32807531,"S"
55,"adult","M",6083,"Feeding",8,19205.3522418479,29.09650989,44.30541551,"W"
56,"adult","M",4178,"Feeding",1,4240.35257023583,30.03173593,44.73317312,"W"
57,"adult","M",5726,"Wintering",1,6993.46221375559,23.971206,43.749256,"W"
58,"adult","M",5142,"Wintering",6,8331.41989299748,25.708919,43.695656,"W"
59,"adult","M",20344,"Feeding",22,23889.7317152771,29.57729121,44.55987182,"S"
60,"adult","M",26201,"Feeding",16,30531.8965156247,29.64884519,44.24876338,"S"
61,"adult","M",17193,"Feeding",21,25553.0570329827,29.40888656,44.31012615,"S"
62,"adult","F",17039,"Feeding",11,21954.4166045611,29.89548174,44.68603694,"S"
63,"adult","M",5952,"Feeding",16,9522.37466184399,30.36674086,44.92030641,"S"
64,"adult","F",13760,"Feeding",17,24894.8803587829,29.98464593,45.12425381,"S"
65,"adult","M",9890,"Feeding",4,11624.1089699487,29.15744715,44.49722593,"W"
66,"adult","M",4421,"Feeding",23,4521.99652635061,29.98047122,45.205428,"S"
67,"adult","M",24734,"Feeding",19,36500,30.41446101,44.7460772,"S"
68,"adult","F",6855,"Feeding",21,6970.66607033275,30.55042705,44.77982363,"S"
69,"adult","F",13072,"Feeding",17,13438.7123246396,29.99543334,44.70536383,"S"
70,"adult","F",14121,"Feeding",5,14369.6562402917,29.4931417,44.34701431,"W"
71,"adult","M",9136,"Wintering",7,25943.0689973503,26.8774,44.125767,"W"
72,"adult","M",11102,"Feeding",7,12734.7731148457,29.79010285,45.30182528,"W"
73,"adult","F",5491,"Feeding",10,5627.62755823124,29.98785256,44.41795509,"W"
74,"adult","F",7000,"Feeding",9,7534.57557529584,29.94757603,45.24033315,"W"
