"ID","Class","Sex","Age","State","Spawnsite","AdultOrDead","X_Coord","Y_Coord","Strategy"
1,"adult","F",6120,"Feeding",2,11868.0156922291,30.37004694,45.0902842,"W"
2,"adult","F",5863,"Feeding",6,9843.4179438775,29.28894371,44.11982242,"W"
3,"adult","F",6030,"Wintering",4,7365.95330093894,25.023333,43.727083,"W"
4,"adult","M",4367,"Feeding",20,5517.04385320539,30.07093748,45.02042203,"S"
5,"adult","F",4833,"Feeding",2,5619.68158775948,29.68288377,44.57407896,"W"
6,"adult","M",4190,"Feeding",16,4543.59548566933,29.4381152,44.67316158,"S"
7,"adult","F",6166,"Feeding",5,7311.67515644059,29.49361986,44.43196287,"W"
8,"adult","F",5225,"Feeding",6,9424.23800806455,30.17463574,44.26587992,"W"
9,"adult","F",6545,"Wintering",2,6551.32136831619,23.971206,43.749256,"W"
10,"adult","F",9264,"Feeding",14,9870.52530758023,29.79258184,44.89822993,"S"
11,"adult","M",12840,"Feeding",10,15693.905430432,29.39320233,44.42297495,"W"
12,"adult","F",5654,"Feeding",12,7213.31257119961,29.66097107,44.31392389,"S"
13,"adult","M",19926,"Feeding",7,25697.2583125524,29.7989841,44.39866987,"W"
14,"adult","F",5412,"Feeding",23,5444.89791499947,29.75579777,44.97165757,"S"
15,"adult","F",15809,"Feeding",11,16534.1843768334,29.97364017,44.55030398,"S"
16,"adult","F",5733,"Wintering",8,6653.44117957074,26.8774,44.125767,"W"
17,"adult","M",7268,"Feeding",9,7333.41656536719,29.88444557,44.51910742,"W"
18,"adult","M",7701,"Feeding",11,13819.3728379885,29.843166,44.82768304,"S"
19,"adult","M",4490,"Feeding",20,5531.23239483498,29.44084759,44.55639378,"S"
20,"adult","M",5108,"Feeding",10,5382.30525657628,30.61414951,44.81492485,"W"
21,"adult","F",5818,"Feeding",16,9242.76155253068,29.66661567,44.52888048,"S"
22,"adult","M",5295,"Feeding",17,6086.78185494174,30.53735385,44.6915534,"S"
23,"adult","M",12108,"Wintering",2,13943.261745514,23.971206,43.749256,"W"
24,"adult","F",5649,"Feeding",19,6862.65598638449,29.38405717,44.31390151,"S"
25,"adult","M",6469,"Wintering",5,8920.37585427258,25.708919,43.695656,"W"
26,"adult","M",7027,"Feeding",5,7638.04486612668,29.14215925,44.25804174,"W"
27,"adult","F",6023,"Feeding",20,7241.60127550457,30.27823183,44.95049028,"S"
28,"adult","F",5602,"Wintering",10,5722.86341816094,27.805513,44.325592,"W"
29,"adult","F",4864,"Wintering",1,4886.79117213043,23.971206,43.749256,"W"
30,"adult","F",5204,"Feeding",23,6650.98708829191,30.45842735,45.27887777,"S"
31,"adult","M",4987,"Feeding",18,5349.19902526517,29.71261711,44.50072908,"S"
32,"adult","F",5473,"Feeding",9,10283.015958781,29.40407081,44.4239362,"W"
33,"adult","F",6925,"Feeding",8,9263.88069013145,30.39196317,44.9848672,"W"
34,"adult","M",5291,"Wintering",5,5302.08348594001,25.708919,43.695656,"W"
35,"adult","F",10451,"Feeding",2,12940.6410583165,29.38215991,44.23900579,"W"
36,"adult","M",4477,"Wintering",9,6726.6259617568,27.584667,44.213077,"W"
37,"adult","M",5150,"Feeding",12,5776.43066298869,29.33950095,44.59693628,"S"
38,"adult","M",8834,"Feeding",3,10048.79742444,29.27739922,44.21767343,"W"
39,"adult","F",7312,"Feeding",11,10577.1168841806,29.42062935,44.11532343,"S"
40,"adult","F",5605,"Feeding",2,6310.72550460417,30.36396839,45.50561277,"W"
41,"adult","M",5703,"Feeding",6,6913.4091810477,30.0346803,44.17795631,"W"
42,"adult","F",12922,"Feeding",4,13263.3680340928,29.4758766,44.57087369,"W"
43,"adult","F",5633,"Feeding",21,10198.7450869859,30.23486461,45.41641487,"S"
44,"adult","M",7263,"Feeding",23,7498.12102552429,29.46627506,44.31996329,"S"
45,"adult","F",5589,"Feeding",4,12251.1877874385,30.29053144,45.37587938,"W"
46,"adult","M",5122,"Wintering",5,5915.63867382063,25.708919,43.695656,"W"
47,"adult","M",6645,"Feeding",9,8937.39570762748,30.38948984,44.92574942,"W"
48,"adult","F",7161,"Feeding",21,8433.5302037926,30.08048363,44.24094839,"S"
49,"adult","M",3871,"Feeding",15,6773.82059399504,30.3843602,44.92275099,"S"
50,"adult","M",4631,"Feeding",14,4672.93718455079,29.72647095,44.12432952,"S"
51,"adult","F",5883,"Feeding",20,9175.40661888038,30.48947688,45.29425017,"S"
52,"adult","M",12511,"Feeding",16,16637.8232639439,30.03094146,45.32150919,"S"
53,"adult","M",5287,"Feeding",20,5889.4671966054,29.71261711,44.50072908,"S"
54,"adult","F",7392,"Feeding",11,7853.03303936996,30.00024416,45.32807531,"S"
55,"adult","M",4407,"Feeding",8,4748.00321971369,29.09650989,44.30541551,"W"
56,"adult","M",9665,"Feeding",1,11596.5955827715,30.03173593,44.73317312,"W"
57,"adult","M",9984,"Wintering",1,10878.1067678222,23.971206,43.749256,"W"
58,"adult","M",10313,"Wintering",6,12749.7451746318,25.708919,43.695656,"W"
59,"adult","M",10691,"Feeding",22,11036.4988909619,29.57729121,44.55987182,"S"
60,"adult","M",5072,"Feeding",16,5190.93911806913,29.64884519,44.24876338,"S"
61,"adult","M",13125,"Feeding",21,20645.2256273646,29.40888656,44.31012615,"S"
62,"adult","F",5184,"Feeding",11,5307.43559055869,29.89548174,44.68603694,"S"
63,"adult","M",5062,"Feeding",16,9133.57504903544,30.36674086,44.92030641,"S"
64,"adult","F",6264,"Feeding",17,6312.8396422388,29.98464593,45.12425381,"S"
65,"adult","M",5956,"Feeding",4,8651.13056013986,29.15744715,44.49722593,"W"
66,"adult","M",6510,"Feeding",23,7666.90562383244,29.98047122,45.205428,"S"
