OID_,title,SymbolID,ORIG_FID,X,Y
1,Spawn_branch,Override 1,1,27.86850168,44.7380645
2,Spawn_branch,Override 1,1,27.87121403,44.72160916
3,Spawn_branch,Override 1,1,27.88151372,44.70758076
4,Spawn_branch,Override 1,1,27.90039647,44.69940613
5,Spawn_branch,Override 1,1,27.9175626,44.69537939
6,Spawn_branch,Override 1,1,27.92683232,44.68439596
7,Spawn_branch,Override 1,1,27.93541539,44.67853728
8,Spawn_branch,Override 1,1,27.95807469,44.68012407
9,Spawn_branch,Override 1,1,27.96775567,44.67593118
10,Spawn_branch,Override 1,1,27.97763715,44.66595543
11,Spawn_branch,Override 1,1,27.98458418,44.65894111
12,Spawn_branch,Override 1,1,28.00390828,44.64679246
13,Spawn_branch,Override 1,1,28.02313435,44.63641058
14,Spawn_branch,Override 1,1,28.02742908,44.62958737
15,Spawn_branch,Override 1,1,28.03257386,44.62348479
16,Spawn_branch,Override 1,1,28.03437867,44.61251422
17,Spawn_branch,Override 1,1,28.023821,44.5963313
18,Spawn_branch,Override 1,1,28.01386464,44.58447328
19,Spawn_branch,Override 1,1,28.01283467,44.57701494
20,Spawn_branch,Override 1,1,28.01678288,44.56417458
21,Spawn_branch,Override 1,1,28.03309071,44.54974107
22,Spawn_branch,Override 1,1,28.0464803,44.52380068
23,Spawn_branch,Override 1,1,28.05231679,44.50960199
24,Spawn_branch,Override 1,1,28.06484111,44.50282322
25,Spawn_branch,Override 1,1,28.08355916,44.49613453
26,Spawn_branch,Override 1,1,28.09193664,44.48468009
27,Spawn_branch,Override 1,1,28.09832203,44.45601978
28,Spawn_branch,Override 1,1,28.11041842,44.43946844
29,Spawn_branch,Override 1,1,28.10441479,44.42865985
30,Spawn_branch,Override 1,1,28.08304417,44.41826838
31,Spawn_branch,Override 1,1,28.06982625,44.41078875
32,Spawn_branch,Override 1,1,28.06706004,44.40041538
33,Spawn_branch,Override 1,1,28.04596531,44.38650401
34,Spawn_branch,Override 1,1,28.02931416,44.36920419
35,Spawn_branch,Override 1,1,28.02105236,44.35431174
36,Spawn_branch,Override 1,1,28.01703071,44.33921524
37,Spawn_branch,Override 1,1,28.01300633,44.32930925
38,Spawn_branch,Override 1,1,28.01252101,44.32228205
39,Spawn_branch,Override 1,1,27.99347806,44.30247514
40,Spawn_branch,Override 1,1,27.97764409,44.29012442
41,Spawn_branch,Override 1,1,27.96355317,44.27133623
42,Spawn_branch,Override 1,1,27.94863331,44.25663076
43,Spawn_branch,Override 1,1,27.92708981,44.24826974
44,Spawn_branch,Override 1,1,27.90923703,44.24771639
45,Spawn_branch,Override 1,1,27.89001095,44.25103638
46,Spawn_branch,Override 1,1,27.88281465,44.25081335
47,Spawn_branch,Override 1,1,27.86357147,44.24630097
48,Spawn_branch,Override 1,1,27.84915188,44.24528367
49,Spawn_branch,Override 1,1,27.8326059,44.24814099
50,Spawn_branch,Override 1,1,27.8132481,44.24360152
51,Spawn_branch,Override 1,1,27.7791177,44.23271261
52,Spawn_branch,Override 1,1,27.7544711,44.21346396
53,Spawn_branch,Override 1,1,27.73892097,44.2031767
54,Spawn_branch,Override 1,1,27.73115055,44.19876362
55,Spawn_branch,Override 1,1,27.70976651,44.19580179
56,Spawn_branch,Override 1,1,27.69426021,44.19848182
57,Spawn_branch,Override 1,1,27.68269211,44.20193822
58,Spawn_branch,Override 1,1,27.6635896,44.20269356
59,Spawn_branch,Override 1,1,27.65668305,44.20432742
60,Spawn_branch,Override 1,1,27.63500798,44.20620067
61,Spawn_branch,Override 1,1,27.61741682,44.20207257
62,Spawn_branch,Override 1,1,27.59781146,44.19747145
63,Spawn_branch,Override 1,1,27.57526982,44.18983236
64,Spawn_branch,Override 1,1,27.55367107,44.18144038
