OID_,title,SymbolID,ORIG_FID,X,Y
1,Winter_branch,Override 1,1,27.86850168,44.7380645
2,Winter_branch,Override 1,1,27.85859692,44.72490229
3,Winter_branch,Override 1,1,27.85636532,44.71038672
4,Winter_branch,Override 1,1,27.86100018,44.6979419
5,Winter_branch,Override 1,1,27.87164319,44.69086424
6,Winter_branch,Override 1,1,27.88904237,44.68291777
7,Winter_branch,Override 1,1,27.89619076,44.67194556
8,Winter_branch,Override 1,1,27.89653409,44.65766091
9,Winter_branch,Override 1,1,27.89935484,44.65008047
10,Winter_branch,Override 1,1,27.92022731,44.64054086
11,Winter_branch,Override 1,1,27.9272687,44.63585376
12,Winter_branch,Override 1,1,27.92497744,44.62773926
13,Winter_branch,Override 1,1,27.91567433,44.61808507
14,Winter_branch,Override 1,1,27.90554631,44.61160868
15,Winter_branch,Override 1,1,27.90843263,44.60384585
16,Winter_branch,Override 1,1,27.91922327,44.59665836
17,Winter_branch,Override 1,1,27.92374063,44.59364914
18,Winter_branch,Override 1,1,27.92872059,44.58312841
19,Winter_branch,Override 1,1,27.92755948,44.57555782
20,Winter_branch,Override 1,1,27.90897301,44.56897533
21,Winter_branch,Override 1,1,27.90281367,44.56503347
22,Winter_branch,Override 1,1,27.90499251,44.55691467
23,Winter_branch,Override 1,1,27.91498768,44.54448051
24,Winter_branch,Override 1,1,27.91618931,44.5355487
25,Winter_branch,Override 1,1,27.90639265,44.52536615
26,Winter_branch,Override 1,1,27.89799321,44.51058132
27,Winter_branch,Override 1,1,27.89583169,44.49646965
28,Winter_branch,Override 1,1,27.90417302,44.48878732
29,Winter_branch,Override 1,1,27.91394751,44.486733
30,Winter_branch,Override 1,1,27.92666066,44.48780763
31,Winter_branch,Override 1,1,27.93387043,44.48535831
32,Winter_branch,Override 1,1,27.93748884,44.47978571
33,Winter_branch,Override 1,1,27.93319398,44.45172816
34,Winter_branch,Override 1,1,27.92806619,44.44269119
35,Winter_branch,Override 1,1,27.92844397,44.4269104
36,Winter_branch,Override 1,1,27.92140805,44.41751066
37,Winter_branch,Override 1,1,27.90703185,44.4124055
38,Winter_branch,Override 1,1,27.88209202,44.40668913
39,Winter_branch,Override 1,1,27.86403481,44.39509993
40,Winter_branch,Override 1,1,27.85078633,44.37527811
41,Winter_branch,Override 1,1,27.84353409,44.37062137
42,Winter_branch,Override 1,1,27.83858304,44.35300589
43,Winter_branch,Override 1,1,27.82758573,44.3405502
44,Winter_branch,Override 1,1,27.8020345,44.32955484
45,Winter_branch,Override 1,1,27.79112382,44.32485906
46,Winter_branch,Override 1,1,27.77422535,44.32261651
47,Winter_branch,Override 1,1,27.74607289,44.32691468
48,Winter_branch,Override 1,1,27.73855415,44.32627739
49,Winter_branch,Override 1,1,27.71259892,44.31844084
50,Winter_branch,Override 1,1,27.68805653,44.30971053
51,Winter_branch,Override 1,1,27.67303097,44.30099806
52,Winter_branch,Override 1,1,27.66528059,44.29062147
53,Winter_branch,Override 1,1,27.66334785,44.27795602
54,Winter_branch,Override 1,1,27.65997774,44.27199921
55,Winter_branch,Override 1,1,27.64959371,44.26961349
56,Winter_branch,Override 1,1,27.6436365,44.26704703
57,Winter_branch,Override 1,1,27.63337719,44.25847495
58,Winter_branch,Override 1,1,27.62169806,44.25579105
59,Winter_branch,Override 1,1,27.6213609,44.24704007
60,Winter_branch,Override 1,1,27.61891289,44.2427109
61,Winter_branch,Override 1,1,27.60994371,44.24064921
62,Winter_branch,Override 1,1,27.60977375,44.24064541
63,Winter_branch,Override 1,1,27.59998906,44.23898515
64,Winter_branch,Override 1,1,27.58896122,44.23582583
65,Winter_branch,Override 1,1,27.58216034,44.23376941
66,Winter_branch,Override 1,1,27.58034574,44.22729875
67,Winter_branch,Override 1,1,27.57143326,44.22345631
68,Winter_branch,Override 1,1,27.57300357,44.21757087
69,Winter_branch,Override 1,1,27.5783757,44.21396898
70,Winter_branch,Override 1,1,27.58399891,44.21310883
71,Winter_branch,Override 1,1,27.58306406,44.20697491
72,Winter_branch,Override 1,1,27.57615261,44.20252426
73,Winter_branch,Override 1,1,27.56536452,44.19172613
74,Winter_branch,Override 1,1,27.55366194,44.18147724
